Timestamp,CPU Usage (%),RAM Usage (%)
2025-03-15 10:22:37.673,15.0,20.7
2025-03-15 10:22:37.773,18.4,20.7
2025-03-15 10:22:37.873,16.1,20.8
2025-03-15 10:22:37.973,14.8,20.8
2025-03-15 10:22:38.073,15.1,20.8
2025-03-15 10:22:38.173,18.1,20.8
2025-03-15 10:22:38.273,14.1,20.8
2025-03-15 10:22:38.373,16.3,20.8
2025-03-15 10:22:38.473,26.4,20.8
2025-03-15 10:22:38.574,23.8,20.8
2025-03-15 10:22:38.674,34.9,20.8
2025-03-15 10:22:38.774,17.9,20.8
2025-03-15 10:22:38.874,16.3,20.8
2025-03-15 10:22:38.974,21.2,20.8
2025-03-15 10:22:39.074,13.4,20.8
2025-03-15 10:22:39.174,15.2,20.8
2025-03-15 10:22:39.274,15.9,20.8
2025-03-15 10:22:39.374,14.6,20.8
2025-03-15 10:22:39.476,19.6,20.8
2025-03-15 10:22:39.577,22.6,20.8
2025-03-15 10:22:39.677,31.7,20.8
2025-03-15 10:22:39.777,14.8,20.8
2025-03-15 10:22:39.877,17.0,20.8
2025-03-15 10:22:39.977,14.1,20.8
2025-03-15 10:22:40.077,14.7,20.8
2025-03-15 10:22:40.177,15.2,20.8
2025-03-15 10:22:40.277,14.3,20.8
2025-03-15 10:22:40.377,15.2,20.8
2025-03-15 10:22:40.477,15.9,20.8
2025-03-15 10:22:40.578,18.1,20.8
2025-03-15 10:22:40.678,14.1,20.8
2025-03-15 10:22:40.778,27.4,20.8
2025-03-15 10:22:40.878,37.7,20.8
2025-03-15 10:22:40.978,16.9,20.8
2025-03-15 10:22:41.078,16.6,20.8
2025-03-15 10:22:41.178,14.7,20.8
2025-03-15 10:22:41.278,14.7,20.8
2025-03-15 10:22:41.378,15.4,20.8
2025-03-15 10:22:41.478,16.2,20.8
2025-03-15 10:22:41.578,15.4,20.8
2025-03-15 10:22:41.678,15.3,20.8
2025-03-15 10:22:41.778,12.9,20.8
2025-03-15 10:22:41.878,14.6,20.8
2025-03-15 10:22:41.979,18.6,20.8
2025-03-15 10:22:42.079,34.4,20.8
2025-03-15 10:22:42.179,25.3,20.8
2025-03-15 10:22:42.279,16.4,20.8
2025-03-15 10:22:42.379,26.2,20.8
2025-03-15 10:22:42.479,17.5,20.8
2025-03-15 10:22:42.579,14.7,20.8
2025-03-15 10:22:42.679,15.4,20.8
2025-03-15 10:22:42.779,14.0,20.8
2025-03-15 10:22:42.879,14.8,20.8
2025-03-15 10:22:42.979,14.2,20.8
2025-03-15 10:22:43.079,26.9,20.8
2025-03-15 10:22:43.180,19.5,20.8
2025-03-15 10:22:43.280,30.6,20.8
2025-03-15 10:22:43.380,28.1,20.8
2025-03-15 10:22:43.480,28.3,20.8
2025-03-15 10:22:43.580,35.4,20.8
2025-03-15 10:22:43.680,17.9,20.8
2025-03-15 10:22:43.780,17.9,20.8
2025-03-15 10:22:43.880,14.2,20.8
2025-03-15 10:22:43.980,14.8,20.8
2025-03-15 10:22:44.080,16.0,20.8
2025-03-15 10:22:44.180,14.8,20.8
2025-03-15 10:22:44.280,15.5,20.8
2025-03-15 10:22:44.380,17.8,20.8
2025-03-15 10:22:44.480,15.9,20.8
2025-03-15 10:22:44.580,16.0,20.8
2025-03-15 10:22:44.681,22.4,20.8
2025-03-15 10:22:44.781,38.8,20.8
2025-03-15 10:22:44.881,17.9,20.8
2025-03-15 10:22:44.981,15.4,20.8
2025-03-15 10:22:45.081,21.5,20.8
2025-03-15 10:22:45.181,22.8,20.8
2025-03-15 10:22:45.281,20.8,20.8
2025-03-15 10:22:45.381,22.8,20.8
2025-03-15 10:22:45.481,22.8,20.8
2025-03-15 10:22:45.581,17.4,20.8
2025-03-15 10:22:45.681,16.9,20.8
2025-03-15 10:22:45.782,21.0,20.8
2025-03-15 10:22:45.882,24.3,20.8
2025-03-15 10:22:45.982,27.2,20.8
2025-03-15 10:22:46.082,36.0,20.8
2025-03-15 10:22:46.182,28.4,20.8
2025-03-15 10:22:46.282,15.6,20.8
2025-03-15 10:22:46.382,14.2,20.8
2025-03-15 10:22:46.482,15.0,20.8
2025-03-15 10:22:46.582,14.7,20.8
2025-03-15 10:22:46.682,16.8,20.8
2025-03-15 10:22:46.782,19.3,20.8
2025-03-15 10:22:46.882,17.4,20.8
2025-03-15 10:22:46.982,15.8,20.8
2025-03-15 10:22:47.083,21.1,20.8
2025-03-15 10:22:47.183,19.1,20.8
2025-03-15 10:22:47.283,30.8,20.8
2025-03-15 10:22:47.383,24.9,20.8
2025-03-15 10:22:47.483,25.3,20.8
2025-03-15 10:22:47.583,17.8,20.8
2025-03-15 10:22:47.683,15.9,20.8
2025-03-15 10:22:47.783,17.5,20.8
2025-03-15 10:22:47.883,15.4,20.8
2025-03-15 10:22:47.983,14.2,20.8
2025-03-15 10:22:48.083,15.3,20.8
2025-03-15 10:22:48.183,14.8,20.8
2025-03-15 10:22:48.283,18.4,20.8
2025-03-15 10:22:48.383,22.2,20.8
2025-03-15 10:22:48.483,17.4,20.8
2025-03-15 10:22:48.583,19.0,20.8
2025-03-15 10:22:48.684,27.4,20.8
2025-03-15 10:22:48.784,31.9,20.8
2025-03-15 10:22:48.884,18.5,20.8
2025-03-15 10:22:48.984,14.8,20.8
2025-03-15 10:22:49.084,14.1,20.8
2025-03-15 10:22:49.184,15.3,20.8
2025-03-15 10:22:49.284,15.8,20.8
2025-03-15 10:22:49.384,16.3,20.8
2025-03-15 10:22:49.484,14.9,20.8
2025-03-15 10:22:49.585,16.4,20.8
2025-03-15 10:22:49.684,24.7,20.8
2025-03-15 10:22:49.785,24.6,20.8
2025-03-15 10:22:49.885,30.0,20.8
2025-03-15 10:22:49.985,37.7,20.8
2025-03-15 10:22:50.085,24.6,20.8
2025-03-15 10:22:50.185,15.9,20.8
2025-03-15 10:22:50.285,16.3,20.8
