Timestamp,CPU Usage (%),RAM Usage (%)
2025-03-15 11:58:04.183,12.8,20.9
2025-03-15 11:58:04.384,10.8,20.9
2025-03-15 11:58:04.585,18.0,20.9
2025-03-15 11:58:04.785,38.4,20.9
2025-03-15 11:58:04.986,11.6,20.9
2025-03-15 11:58:05.187,18.3,21.0
2025-03-15 11:58:05.387,10.8,21.0
2025-03-15 11:58:05.588,15.6,21.0
2025-03-15 11:58:05.789,14.8,21.0
2025-03-15 11:58:05.989,27.1,21.0
2025-03-15 11:58:06.190,34.9,21.0
2025-03-15 11:58:06.391,15.7,21.0
2025-03-15 11:58:06.592,13.8,21.0
2025-03-15 11:58:06.792,14.8,21.0
2025-03-15 11:58:06.993,17.2,21.0
2025-03-15 11:58:07.194,21.9,21.0
2025-03-15 11:58:07.395,26.7,21.0
2025-03-15 11:58:07.595,14.9,21.0
2025-03-15 11:58:07.796,16.8,21.0
2025-03-15 11:58:07.997,12.2,21.0
2025-03-15 11:58:08.198,16.8,21.0
2025-03-15 11:58:08.398,15.1,21.0
2025-03-15 11:58:08.599,23.2,21.0
2025-03-15 11:58:08.800,16.4,21.1
2025-03-15 11:58:09.001,16.0,21.0
2025-03-15 11:58:09.202,18.4,21.0
2025-03-15 11:58:09.402,12.1,21.0
2025-03-15 11:58:09.603,13.4,21.0
2025-03-15 11:58:09.804,20.3,21.1
2025-03-15 11:58:10.004,15.6,21.1
2025-03-15 11:58:10.205,32.8,21.1
2025-03-15 11:58:10.406,14.0,21.1
2025-03-15 11:58:10.607,15.8,21.1
2025-03-15 11:58:10.807,17.0,21.1
2025-03-15 11:58:11.008,14.5,21.1
2025-03-15 11:58:11.209,24.2,21.1
2025-03-15 11:58:11.410,28.5,21.1
2025-03-15 11:58:11.610,17.9,21.1
2025-03-15 11:58:11.811,15.5,21.1
2025-03-15 11:58:12.012,15.0,21.1
2025-03-15 11:58:12.213,17.2,21.1
2025-03-15 11:58:12.413,16.7,21.1
2025-03-15 11:58:12.614,35.6,21.1
2025-03-15 11:58:12.815,26.9,21.1
2025-03-15 11:58:13.016,13.0,21.1
2025-03-15 11:58:13.217,16.7,21.1
2025-03-15 11:58:13.417,15.1,21.1
2025-03-15 11:58:13.618,16.6,21.1
2025-03-15 11:58:13.819,16.0,21.1
2025-03-15 11:58:14.020,28.6,21.1
2025-03-15 11:58:14.220,36.7,21.1
2025-03-15 11:58:14.421,14.6,21.1
2025-03-15 11:58:14.622,27.1,21.1
2025-03-15 11:58:14.822,17.4,21.1
2025-03-15 11:58:15.023,14.7,21.1
2025-03-15 11:58:15.224,16.7,21.1
2025-03-15 11:58:15.425,15.2,21.1
2025-03-15 11:58:15.626,27.6,21.1
2025-03-15 11:58:15.826,14.0,21.1
2025-03-15 11:58:16.027,16.2,21.1
2025-03-15 11:58:16.228,17.2,21.1
2025-03-15 11:58:16.428,13.4,21.1
2025-03-15 11:58:16.629,20.3,21.1
2025-03-15 11:58:16.830,19.0,21.1
2025-03-15 11:58:17.031,31.1,21.1
2025-03-15 11:58:17.232,16.2,21.1
2025-03-15 11:58:17.432,15.7,21.1
2025-03-15 11:58:17.633,16.9,21.1
2025-03-15 11:58:17.834,17.4,21.1
2025-03-15 11:58:18.034,15.8,21.1
2025-03-15 11:58:18.235,17.2,21.1
2025-03-15 11:58:18.436,32.8,21.1
2025-03-15 11:58:18.637,17.5,21.1
2025-03-15 11:58:18.837,18.4,21.1
2025-03-15 11:58:19.038,13.4,21.1
2025-03-15 11:58:19.239,14.7,21.1
2025-03-15 11:58:19.440,16.4,21.1
2025-03-15 11:58:19.640,17.0,21.1
2025-03-15 11:58:19.841,34.4,21.1
2025-03-15 11:58:20.041,14.8,21.1
2025-03-15 11:58:20.242,15.2,21.1
2025-03-15 11:58:20.443,18.4,21.1
2025-03-15 11:58:20.644,20.0,21.1
