Timestamp,CPU Usage (%),RAM Usage (%)
2025-03-16 15:24:02.393,19.7,25.7
2025-03-16 15:24:02.495,38.9,25.7
2025-03-16 15:24:02.596,33.0,25.7
2025-03-16 15:24:02.697,23.8,25.7
2025-03-16 15:24:02.799,15.9,25.7
2025-03-16 15:24:02.900,26.5,25.7
2025-03-16 15:24:03.002,13.7,25.7
2025-03-16 15:24:03.104,15.9,25.7
2025-03-16 15:24:03.205,12.5,25.7
2025-03-16 15:24:03.307,14.8,25.7
2025-03-16 15:24:03.409,12.9,25.7
2025-03-16 15:24:03.510,13.7,25.7
2025-03-16 15:24:03.613,13.4,25.7
2025-03-16 15:24:03.714,14.3,25.7
2025-03-16 15:24:03.816,14.6,25.7
2025-03-16 15:24:03.918,17.8,25.7
2025-03-16 15:24:04.019,21.8,25.7
2025-03-16 15:24:04.121,22.8,25.7
2025-03-16 15:24:04.223,28.0,25.7
2025-03-16 15:24:04.324,17.2,25.7
2025-03-16 15:24:04.426,14.2,25.7
2025-03-16 15:24:04.528,17.2,25.7
2025-03-16 15:24:04.629,14.4,25.7
2025-03-16 15:24:04.730,17.8,25.7
2025-03-16 15:24:04.833,14.3,25.7
2025-03-16 15:24:04.934,17.2,25.7
2025-03-16 15:24:05.035,15.9,25.7
2025-03-16 15:24:05.137,14.6,25.7
2025-03-16 15:24:05.246,30.2,25.7
2025-03-16 15:24:05.347,38.1,25.7
2025-03-16 15:24:05.449,21.7,25.7
2025-03-16 15:24:05.551,18.3,25.7
2025-03-16 15:24:05.652,15.8,25.7
2025-03-16 15:24:05.754,11.8,25.7
2025-03-16 15:24:05.856,15.6,25.7
