Timestamp,CPU Usage (%),RAM Usage (%)
2025-03-15 12:59:05.870,16.7,20.9
2025-03-15 12:59:05.970,13.2,20.9
2025-03-15 12:59:06.070,18.5,21.0
2025-03-15 12:59:06.170,19.8,21.0
2025-03-15 12:59:06.270,29.6,21.0
2025-03-15 12:59:06.370,16.5,21.0
2025-03-15 12:59:06.470,16.6,21.0
2025-03-15 12:59:06.570,13.2,21.0
2025-03-15 12:59:06.670,15.4,21.0
2025-03-15 12:59:06.771,12.7,21.0
2025-03-15 12:59:06.871,16.7,21.0
2025-03-15 12:59:06.971,13.9,21.0
2025-03-15 12:59:07.071,18.8,21.0
2025-03-15 12:59:07.171,19.9,21.0
2025-03-15 12:59:07.271,22.8,21.0
2025-03-15 12:59:07.371,29.3,21.0
2025-03-15 12:59:07.471,25.4,21.0
2025-03-15 12:59:07.571,25.4,21.0
2025-03-15 12:59:07.671,18.3,21.0
2025-03-15 12:59:07.772,17.9,21.0
2025-03-15 12:59:07.872,20.0,21.0
2025-03-15 12:59:07.972,17.2,21.0
2025-03-15 12:59:08.072,17.2,21.0
2025-03-15 12:59:08.172,17.1,21.0
2025-03-15 12:59:08.272,14.4,21.0
2025-03-15 12:59:08.372,16.0,21.0
2025-03-15 12:59:08.472,16.0,21.0
2025-03-15 12:59:08.572,16.7,21.0
2025-03-15 12:59:08.673,16.7,21.1
2025-03-15 12:59:08.773,21.5,21.1
2025-03-15 12:59:08.873,36.4,21.1
2025-03-15 12:59:08.973,30.6,21.0
2025-03-15 12:59:09.073,19.4,21.0
2025-03-15 12:59:09.173,21.0,21.0
2025-03-15 12:59:09.273,16.8,21.0
2025-03-15 12:59:09.373,16.1,21.0
2025-03-15 12:59:09.473,16.7,21.0
2025-03-15 12:59:09.573,15.6,21.0
2025-03-15 12:59:09.674,16.7,21.0
2025-03-15 12:59:09.774,20.6,21.0
2025-03-15 12:59:09.874,39.0,21.0
2025-03-15 12:59:09.974,32.6,21.0
2025-03-15 12:59:10.074,31.9,21.0
2025-03-15 12:59:10.174,20.1,21.0
2025-03-15 12:59:10.274,16.0,21.0
2025-03-15 12:59:10.374,20.1,21.0
2025-03-15 12:59:10.475,18.8,21.0
2025-03-15 12:59:10.575,16.1,21.0
2025-03-15 12:59:10.675,17.2,21.0
2025-03-15 12:59:10.775,17.2,21.0
2025-03-15 12:59:10.875,17.8,21.0
2025-03-15 12:59:10.975,17.9,21.0
2025-03-15 12:59:11.075,17.8,21.0
2025-03-15 12:59:11.175,19.7,21.0
2025-03-15 12:59:11.275,27.1,21.0
2025-03-15 12:59:11.376,33.2,21.0
