Timestamp,CPU Usage (%),RAM Usage (%)
2025-03-15 14:30:12.376,17.2,21.2
2025-03-15 14:30:12.577,15.4,21.2
2025-03-15 14:30:12.778,15.6,21.2
2025-03-15 14:30:12.979,17.8,21.2
2025-03-15 14:30:13.179,18.3,21.2
2025-03-15 14:30:13.380,42.2,21.2
2025-03-15 14:30:13.581,22.4,21.2
2025-03-15 14:30:13.781,19.0,21.2
2025-03-15 14:30:13.982,18.8,21.3
2025-03-15 14:30:14.183,19.2,21.3
2025-03-15 14:30:14.383,27.1,21.3
2025-03-15 14:30:14.584,22.4,21.2
2025-03-15 14:30:14.785,44.6,21.3
2025-03-15 14:30:14.986,19.4,21.3
2025-03-15 14:30:15.186,19.5,21.3
2025-03-15 14:30:15.387,23.2,21.3
2025-03-15 14:30:15.588,17.9,21.3
2025-03-15 14:30:15.789,19.5,21.3
2025-03-15 14:30:15.990,26.3,21.3
2025-03-15 14:30:16.190,35.5,21.3
2025-03-15 14:30:16.391,23.7,21.3
2025-03-15 14:30:16.592,15.4,21.3
2025-03-15 14:30:16.793,18.9,21.3
2025-03-15 14:30:16.994,17.1,21.3
2025-03-15 14:30:17.194,13.8,21.3
2025-03-15 14:30:17.395,26.3,21.3
2025-03-15 14:30:17.596,37.6,21.3
2025-03-15 14:30:17.797,21.3,21.4
2025-03-15 14:30:17.997,20.9,21.4
2025-03-15 14:30:18.198,15.4,21.4
2025-03-15 14:30:18.399,22.8,21.3
2025-03-15 14:30:18.600,15.2,21.3
2025-03-15 14:30:18.801,19.3,21.4
2025-03-15 14:30:19.001,31.9,21.4
2025-03-15 14:30:19.202,15.4,21.4
2025-03-15 14:30:19.403,19.9,21.4
2025-03-15 14:30:19.604,16.1,21.4
2025-03-15 14:30:19.805,18.0,21.4
2025-03-15 14:30:20.005,19.9,21.4
2025-03-15 14:30:20.206,16.9,21.4
2025-03-15 14:30:20.407,40.8,21.4
2025-03-15 14:30:20.608,37.2,21.4
2025-03-15 14:30:20.809,17.4,21.4
2025-03-15 14:30:21.009,18.1,21.4
2025-03-15 14:30:21.210,12.9,21.4
2025-03-15 14:30:21.411,17.4,21.4
2025-03-15 14:30:21.612,25.6,21.4
2025-03-15 14:30:21.813,28.9,21.4
2025-03-15 14:30:22.014,36.5,21.4
2025-03-15 14:30:22.215,14.1,21.4
2025-03-15 14:30:22.415,17.2,21.4
2025-03-15 14:30:22.616,15.9,21.4
2025-03-15 14:30:22.817,20.1,21.4
2025-03-15 14:30:23.018,30.6,21.4
2025-03-15 14:30:23.218,32.3,21.4
2025-03-15 14:30:23.419,28.3,21.4
2025-03-15 14:30:23.620,21.2,21.4
2025-03-15 14:30:23.821,17.6,21.4
2025-03-15 14:30:24.022,14.1,21.4
2025-03-15 14:30:24.223,20.4,21.4
2025-03-15 14:30:24.423,25.3,21.4
2025-03-15 14:30:24.624,21.0,21.3
2025-03-15 14:30:24.825,21.1,21.3
2025-03-15 14:30:25.026,14.8,21.3
2025-03-15 14:30:25.227,14.1,21.3
2025-03-15 14:30:25.427,18.0,21.3
2025-03-15 14:30:25.628,20.3,21.3
2025-03-15 14:30:25.829,31.1,21.3
2025-03-15 14:30:26.030,28.7,21.3
2025-03-15 14:30:26.230,14.0,21.3
2025-03-15 14:30:26.431,17.9,21.3
2025-03-15 14:30:26.632,14.0,21.3
2025-03-15 14:30:26.833,20.1,21.3
2025-03-15 14:30:27.033,17.3,21.3
2025-03-15 14:30:27.234,14.5,21.3
2025-03-15 14:30:27.435,34.0,21.3
2025-03-15 14:30:27.636,15.9,21.4
2025-03-15 14:30:27.837,17.6,21.4
2025-03-15 14:30:28.037,14.7,21.4
2025-03-15 14:30:28.238,13.5,21.4
2025-03-15 14:30:28.439,14.0,21.4
2025-03-15 14:30:28.639,16.2,21.4
2025-03-15 14:30:28.840,31.5,21.3
2025-03-15 14:30:29.041,13.3,21.3
2025-03-15 14:30:29.241,17.4,21.3
2025-03-15 14:30:29.442,14.8,21.3
2025-03-15 14:30:29.643,13.3,21.4
2025-03-15 14:30:29.844,14.0,21.4
2025-03-15 14:30:30.045,21.6,21.3
2025-03-15 14:30:30.245,14.0,21.3
2025-03-15 14:30:30.446,15.7,21.3
2025-03-15 14:30:30.647,13.2,21.3
2025-03-15 14:30:30.847,13.4,21.3
2025-03-15 14:30:31.048,12.8,21.3
2025-03-15 14:30:31.249,16.9,21.4
2025-03-15 14:30:31.450,17.2,21.4
2025-03-15 14:30:31.651,19.5,21.3
2025-03-15 14:30:31.851,25.6,21.4
2025-03-15 14:30:32.052,16.7,21.4
2025-03-15 14:30:32.253,17.0,21.3
2025-03-15 14:30:32.454,20.0,21.3
2025-03-15 14:30:32.655,17.3,21.3
2025-03-15 14:30:32.855,34.0,21.3
2025-03-15 14:30:33.056,35.7,21.4
2025-03-15 14:30:33.257,17.8,21.4
