Timestamp,CPU Usage (%),RAM Usage (%)
2025-03-15 13:46:32.184,29.6,21.3
2025-03-15 13:46:32.284,38.5,21.3
2025-03-15 13:46:32.384,33.0,21.3
2025-03-15 13:46:32.484,17.6,21.3
2025-03-15 13:46:32.584,16.7,21.3
2025-03-15 13:46:32.684,14.8,21.3
2025-03-15 13:46:32.785,15.7,21.3
2025-03-15 13:46:32.885,14.8,21.3
2025-03-15 13:46:32.985,14.0,21.3
2025-03-15 13:46:33.085,14.7,21.3
2025-03-15 13:46:33.185,15.9,21.3
2025-03-15 13:46:33.285,15.0,21.3
2025-03-15 13:46:33.385,17.4,21.3
2025-03-15 13:46:33.485,18.2,21.3
2025-03-15 13:46:33.585,19.5,21.4
2025-03-15 13:46:33.686,18.5,21.3
2025-03-15 13:46:33.786,26.2,21.4
2025-03-15 13:46:33.886,27.4,21.4
2025-03-15 13:46:33.986,16.2,21.4
2025-03-15 13:46:34.086,18.0,21.4
2025-03-15 13:46:34.186,19.1,21.4
2025-03-15 13:46:34.286,16.8,21.3
2025-03-15 13:46:34.386,16.8,21.4
2025-03-15 13:46:34.486,17.3,21.3
2025-03-15 13:46:34.586,16.7,21.3
2025-03-15 13:46:34.687,17.3,21.3
2025-03-15 13:46:34.787,21.2,21.3
2025-03-15 13:46:34.887,25.0,21.3
2025-03-15 13:46:34.987,31.5,21.3
2025-03-15 13:46:35.087,34.9,21.3
2025-03-15 13:46:35.187,32.2,21.4
2025-03-15 13:46:35.287,17.4,21.3
2025-03-15 13:46:35.387,16.7,21.3
2025-03-15 13:46:35.488,17.2,21.3
2025-03-15 13:46:35.588,15.8,21.3
2025-03-15 13:46:35.688,16.1,21.3
2025-03-15 13:46:35.788,17.3,21.3
2025-03-15 13:46:35.888,19.6,21.3
2025-03-15 13:46:35.988,19.6,21.4
2025-03-15 13:46:36.088,17.4,21.4
2025-03-15 13:46:36.188,17.9,21.4
2025-03-15 13:46:36.289,32.4,21.4
2025-03-15 13:46:36.389,23.5,21.4
2025-03-15 13:46:36.489,27.6,21.4
2025-03-15 13:46:36.589,32.2,21.4
2025-03-15 13:46:36.689,16.9,21.3
2025-03-15 13:46:36.789,15.5,21.3
2025-03-15 13:46:36.889,18.5,21.3
2025-03-15 13:46:36.989,20.4,21.4
2025-03-15 13:46:37.089,17.4,21.3
2025-03-15 13:46:37.190,18.7,21.3
2025-03-15 13:46:37.290,15.4,21.3
2025-03-15 13:46:37.390,16.8,21.3
2025-03-15 13:46:37.490,19.5,21.3
2025-03-15 13:46:37.590,16.7,21.4
2025-03-15 13:46:37.690,28.6,21.3
2025-03-15 13:46:37.790,27.5,21.4
2025-03-15 13:46:37.890,18.4,21.3
2025-03-15 13:46:37.990,17.3,21.4
2025-03-15 13:46:38.090,18.1,21.3
2025-03-15 13:46:38.190,16.1,21.4
2025-03-15 13:46:38.291,18.1,21.3
2025-03-15 13:46:38.391,15.6,21.4
2025-03-15 13:46:38.491,16.8,21.3
2025-03-15 13:46:38.591,17.3,21.3
2025-03-15 13:46:38.691,16.2,21.3
2025-03-15 13:46:38.791,19.0,21.3
2025-03-15 13:46:38.891,27.7,21.3
2025-03-15 13:46:38.991,29.1,21.3
2025-03-15 13:46:39.091,32.8,21.3
2025-03-15 13:46:39.191,27.7,21.3
2025-03-15 13:46:39.292,24.8,21.3
2025-03-15 13:46:39.392,17.8,21.3
2025-03-15 13:46:39.492,20.1,21.3
2025-03-15 13:46:39.592,17.2,21.3
2025-03-15 13:46:39.692,16.8,21.3
2025-03-15 13:46:39.792,16.9,21.3
2025-03-15 13:46:39.892,17.9,21.3
2025-03-15 13:46:39.992,17.2,21.3
2025-03-15 13:46:40.092,17.9,21.3
