Timestamp,CPU Usage (%),RAM Usage (%)
2025-03-12 16:22:52.037,17.4,35.6
2025-03-12 16:22:52.137,16.3,35.6
2025-03-12 16:22:52.237,15.8,35.6
2025-03-12 16:22:52.337,15.0,35.6
2025-03-12 16:22:52.437,16.6,35.6
2025-03-12 16:22:52.537,19.0,35.6
2025-03-12 16:22:52.638,29.2,35.6
2025-03-12 16:22:52.738,40.0,35.6
2025-03-12 16:22:52.838,30.6,35.6
2025-03-12 16:22:52.938,32.1,35.6
2025-03-12 16:22:53.039,22.2,35.6
2025-03-12 16:22:53.138,15.1,35.6
2025-03-12 16:22:53.238,18.0,35.6
2025-03-12 16:22:53.338,14.4,35.6
2025-03-12 16:22:53.438,15.4,35.6
2025-03-12 16:22:53.538,16.1,35.6
2025-03-12 16:22:53.638,17.1,35.6
2025-03-12 16:22:53.738,16.7,35.6
2025-03-12 16:22:53.838,17.1,35.7
2025-03-12 16:22:53.938,17.3,35.7
2025-03-12 16:22:54.038,15.8,35.6
2025-03-12 16:22:54.139,23.0,35.7
2025-03-12 16:22:54.239,31.8,35.7
2025-03-12 16:22:54.339,37.0,35.7
2025-03-12 16:22:54.439,18.8,35.7
2025-03-12 16:22:54.539,16.9,35.7
2025-03-12 16:22:54.639,16.9,35.7
2025-03-12 16:22:54.739,18.9,35.7
2025-03-12 16:22:54.840,38.0,35.7
2025-03-12 16:22:54.940,16.0,35.7
2025-03-12 16:22:55.040,28.7,35.7
2025-03-12 16:22:55.139,26.5,35.7
2025-03-12 16:22:55.240,26.5,35.7
2025-03-12 16:22:55.340,33.2,35.7
2025-03-12 16:22:55.440,29.8,35.7
2025-03-12 16:22:55.540,17.4,35.7
2025-03-12 16:22:55.640,20.3,35.7
2025-03-12 16:22:55.740,19.9,35.7
2025-03-12 16:22:55.840,15.8,35.7
2025-03-12 16:22:55.940,17.8,35.7
2025-03-12 16:22:56.040,18.8,35.7
2025-03-12 16:22:56.140,18.7,35.7
2025-03-12 16:22:56.240,15.4,35.7
2025-03-12 16:22:56.340,25.3,35.7
2025-03-12 16:22:56.440,19.6,35.7
2025-03-12 16:22:56.541,26.8,35.7
2025-03-12 16:22:56.641,34.0,35.7
2025-03-12 16:22:56.741,25.3,35.7
2025-03-12 16:22:56.841,16.4,35.7
